what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379969252705
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379969252769
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1379969254575
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379969255094
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379969255267
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1379969256215
activated,editor,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui.editor.CEditor",1379969266637
executed,command,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1379969457977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969508928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969509559
activated,editor,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui.editor.CEditor",1379969510778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969674882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969956196
activated,editor,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui.editor.CEditor",1379969958934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969966098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969968429
executed,command,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1379969971738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969974145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969977610
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1379969981310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969983265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969984213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379969984801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970015179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1379970021844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379970024262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379970026214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970026655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970036960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1379970040076
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1379970041764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1379970042117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970042911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970110341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379970113414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379970115364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379970116444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970116915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379970118324
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379970120879
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379970137758
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379970137826
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1379970143943
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379970144497
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379970144551
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379970144606
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1379970145607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379970145770
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379970145991
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379970146075
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1379970147071
