what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381700794054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381700795043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381700824548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701018986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701026277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1381701026299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701047792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701051392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701078244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381701081023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701082607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701087351
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701127484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701127636
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701127780
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701127923
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128211
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128339
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128475
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128613
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128715
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701128875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701129020
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701129228
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701129430
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701129643
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1381701129876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381701155373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701164918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701182788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381701185677
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381701202196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1381701202651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701210228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701227861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381701230786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1381701235591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701240156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1381701254391
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1381701258458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1381701262923
