what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1379865700785
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1379865700795
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379865700796
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1379865700823
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201211091924,"org.eclipse.cdt.codan.checkers",1379865700824
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201211091924,"org.eclipse.cdt.codan.core",1379865700824
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201211091924,"org.eclipse.cdt.codan.core.cxx",1379865700824
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1379865700824
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1379865700824
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201211091924,"org.eclipse.cdt.debug.core",1379865700843
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1379865700844
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1379865700854
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1379865700860
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1379865700860
os,sysinfo,,,"win32",1379865700862
arch,sysinfo,,,"x86",1379865700862
ws,sysinfo,,,"win32",1379865700862
locale,sysinfo,,,"en_US",1379865700862
processors,sysinfo,,,"2",1379865700862
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379865700862
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1379865700862
java.specification.name,sysinfo,,,"Java Platform API Specification",1379865700862
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379865700862
java.specification.version,sysinfo,,,"1.7",1379865700862
java.vendor,sysinfo,,,"Oracle Corporation",1379865700862
java.version,sysinfo,,,"1.7.0_02",1379865700862
