what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379250569493
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1379250569528
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201211091924,"org.eclipse.cdt.codan.ui.cxx",1379250569530
started,bundle,org.eclipse.cdt.core,5.3.2.201211091924,"org.eclipse.cdt.core",1379250569530
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201211091924,"org.eclipse.cdt.debug.core",1379250569540
started,bundle,org.eclipse.cdt.make.core,7.1.2.201211091924,"org.eclipse.cdt.make.core",1379250569540
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201211091924,"org.eclipse.cdt.make.ui",1379250569551
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201211091924,"org.eclipse.cdt.managedbuilder.core",1379250569557
started,bundle,org.eclipse.cdt.ui,5.3.2.201211091924,"org.eclipse.cdt.ui",1379250569557
os,sysinfo,,,"win32",1379250569559
arch,sysinfo,,,"x86",1379250569559
ws,sysinfo,,,"win32",1379250569559
locale,sysinfo,,,"en_US",1379250569559
processors,sysinfo,,,"2",1379250569559
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379250569559
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1379250569559
java.specification.name,sysinfo,,,"Java Platform API Specification",1379250569559
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379250569559
java.specification.version,sysinfo,,,"1.7",1379250569559
java.vendor,sysinfo,,,"Oracle Corporation",1379250569559
java.version,sysinfo,,,"1.7.0_02",1379250569559
java.vm.info,sysinfo,,,"mixed mode",1379250569559
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1379250569559
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379250569559
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379250569559
java.vm.specification.version,sysinfo,,,"1.7",1379250569559
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379250569559
java.vm.version,sysinfo,,,"22.0-b10",1379250569559
